1;Korhonen;Juhani;Alajärvi
2;Virtanen;Olavi;Alavieska
3;Mäkinen;Antero;Alavus
4;Nieminen;Tapani;Asikkala
5;Mäkelä;Johannes;Askola
6;Hämäläinen;Tapio;Aura
7;Laine;Kalevi;Akaa
8;Heikkinen;Mikael;Brändö
9;Koskinen;Petteri;Eckerö
10;Järvinen;Ilmari;Enonkoski
11;Lehtonen;Sakari;Enontekiö
12;Lehtinen;Matias;Espoo
13;Saarinen;Kristian;Eura
14;Salminen;Pekka;Eurajoki
15;Heinonen;Kalervo;Evijärvi
16;Niemi;Matti;Finström
17;Heikkilä;Henrik;Forssa
18;Kinnunen;Oskari;Föglö
19;Salonen;Ensio;Geta
20;Turunen;Markus;Haapajärvi
21;Salo;Aleksi;Haapavesi
22;Laitinen;Heikki;Hailuoto
23;Tuominen;Valtteri;Halsua
24;Rantanen;Erik;Hamina
25;Karjalainen;Jaakko;Hammarland
26;Jokinen;Veikko;Hankasalmi
27;Mattila;Samuli;Hanko
28;Savolainen;Antti;Harjavalta
29;Lahtinen;Eemeli;Hartola
30;Ahonen;Armas;Hattula
31;Ojala;Elias;Hausjärvi
32;Leppänen;Samuel;Heinävesi
33;Hiltunen;Uolevi;Helsinki
34;Väisänen;Viljami;Vantaa
35;Leinonen;Petri;Hirvensalmi
36;Miettinen;Tuomas;Hollola
37;Kallio;Erkki;Honkajoki
38;Pitkänen;Johan;Huittinen
39;Aaltonen;Onni;Humppila
40;Manninen;Jalmari;Hyrynsalmi
41;Hakala;Lauri;Hyvinkää
42;Anttila;Aleksanteri;Hämeenkyrö
43;Koivisto;Emil;Hämeenlinna
44;Laaksonen;Ilari;Heinola
45;Räsänen;Veli;Ii
46;Hirvonen;Sebastian;Iisalmi
47;Lehto;Kullervo;Iitti
48;Laakso;Santeri;Ikaalinen
49;Toivonen;Einari;Ilmajoki
50;Mustonen;Alexander;Ilomantsi
51;Rantala;Aulis;Inari
52;Aalto;Allan;Inkoo
53;Nurmi;Eino;Isojoki
54;Peltonen;Juho;Isokyrö
55;Niemelä;Juha;Imatra
56;Moilanen;Aukusti;Janakkala
57;Seppälä;Toivo;Joensuu
58;Hänninen;Oliver;Jokioinen
59;Pulkkinen;Eemil;Jomala
60;Lappalainen;Martti;Joroinen
61;Partanen;Christian;Joutsa
62;Kettunen;Artturi;Juuka
63;Saari;Juhana;Juupajoki
64;Kauppinen;Ville;Juva
65;Kemppainen;Vilhelm;Jyväskylä
66;Seppänen;Hermanni;Jämijärvi
67;Lahti;Väinö;Jämsä
68;Koskela;Valdemar;Järvenpää
69;Salmi;Akseli;Kaarina
70;Ahola;Anton;Kaavi
71;Huttunen;Daniel;Kajaani
72;Suominen;Pentti;Kalajoki
73;Ikonen;Mikko;Kangasala
74;Aho;Eero;Kangasniemi
